runtime,vote_average,release_month,Comedy,Crime,Drama,Action,Thriller,Romance,Adventure,Family,Fantasy,Animation,Mystery,ScienceFiction,Horror,History,War,Music,Documentary,Western,Empty,TVMovie,Foreign,PC_class,log_raw_budget,log_raw_revenue,log_budget,log_revenue,log_popularity,log_vote_count
105.0,8.2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.616390887260783,17.661131140936188,14.616390887260783,17.661131140936188,2.289601165435751,8.460199469896118
111.0,8.3,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.181426160012176,18.22181268165922,17.181426160012176,18.22181268165922,3.5720927969076413,9.278279354984376
81.0,7.3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14.741553977399072,16.299709957709915,14.741553977399072,16.299709957709915,2.4119774697652425,7.303843225277705
104.0,7.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.562781536322326,18.68573585407602,16.562781536322326,18.68573585407602,2.8974577042856504,8.782629654920699
119.0,7.4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.17240768072985,20.671077405200826,17.17240768072985,20.671077405200826,3.9539324085053558,8.633374945705647
117.0,7.9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.024336087383013,18.14802326161267,17.024336087383013,18.14802326161267,3.05220712048197,9.012133305952004
124.0,7.3,10,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.838371547568318,18.576570479317017,16.838371547568318,18.576570479317017,2.5930881826325285,8.017307507688582
115.0,7.0,7,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19.140956596766742,20.29357033863165,19.140956596766742,20.29357033863165,4.443086455894964,9.325720523016257
179.0,8.3,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18.76682039304985,21.004285701593496,18.76682039304985,21.004285701593496,4.363506185036503,9.844639476726922
179.0,8.3,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18.58373453888412,21.04547123230907,18.58373453888412,21.04547123230907,4.2020174023957955,9.697446909121581
201.0,8.5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18.73724178324103,21.214038483001172,18.73724178324103,21.214038483001172,4.245218450656228,9.763650607348328
134.0,8.3,12,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,17.60547893998143,19.399841093869714,17.60547893998143,19.399841093869714,3.4687625678245793,8.612139668725192
125.0,8.5,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,17.17865990661494,19.850719573003982,17.17865990661494,19.850719573003982,4.0779271984500225,9.318387276059317
107.0,7.3,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.518292941902033,18.535032040143154,17.518292941902033,18.535032040143154,2.648583242268663,7.96311205897929
101.0,7.6,11,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17.11710861122795,18.69745582584797,17.11710861122795,18.69745582584797,3.1178171541042285,8.621012520055235
106.0,7.4,3,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,15.775605482856605,17.861699267299,15.775605482856605,17.861699267299,2.520515077255368,6.436150368369428
114.0,7.8,10,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,16.02598047169963,16.177139918790612,16.02598047169963,16.177139918790612,3.258365732554613,9.132378830506472
134.0,7.8,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.769378679557207,19.31235066795813,16.769378679557207,19.31235066795813,2.9102833117215083,8.503905297089302
120.0,7.4,6,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.093409760989324,19.62395375047693,17.093409760989324,19.62395375047693,2.835328752060967,7.692113339595466
102.0,7.4,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.580241526037272,18.979134886009827,15.580241526037272,18.979134886009827,3.024659808627171,8.563122123304638
152.0,8.5,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.25900993868113,20.950957474817514,19.25900993868113,20.950957474817514,4.300369082173333,10.117509629400777
116.0,7.4,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.676872157052713,20.345060875174006,18.676872157052713,20.345060875174006,3.202746442938317,9.07589427542326
