budget,genres,popularity,production_companies,revenue,runtime,title,vote_average,vote_count,release_year,release_month,adj_revenue,adj_budget
27000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",8.443999999999999,['Paramount'],96900000.0,113.0,Star Trek VI: The Undiscovered Country,7.0,849.0,1991,6,190893000,53190000
1200000,"['Horror', 'Mystery', 'Crime']",52.493,"['Twisted Pictures', 'Evolution Entertainment', 'Saw Productions Inc.', 'Lionsgate']",103911669.0,103.0,Saw,7.4,6454.0,2004,1,147554569,1704000
24000000,"['Comedy', 'Drama']",10.955,['TriStar Pictures'],41895491.0,138.0,The Fisher King,7.3,887.0,1991,9,82534117,47280000
80000000,"['Crime', 'Thriller']",10.968,"['Mirage Enterprises', 'Universal Pictures', 'StudioCanal', 'Working Title Films', 'Misher Films', 'Motion Picture JOTA Produktions']",162944923.0,128.0,The Interpreter,6.3,974.0,2005,8,223234544,109600000
102000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",16.668,"['Digital Image Associates', 'Cruise/Wagner Productions', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman', 'Amblin Entertainment', '20th Century Fox', 'DreamWorks Pictures']",358372926.0,145.0,Minority Report,7.3,6257.0,2002,6,533975659,151980000
32000000,"['Drama', 'Thriller', 'Mystery']",11.992,"['Sunset Gower Studios', 'Warner Bros. Pictures', 'Section Eight']",5914908.0,108.0,The Good German,6.0,202.0,2006,8,7866827,42560000
12000000,"['Crime', 'Thriller', 'Drama']",16.423,"['Miramax', 'A Band Apart', 'Lawrence Bender Productions', 'Mighty Mighty Afrodite Productions']",39673162.0,154.0,Jackie Brown,7.3,4559.0,1997,10,66254180,20040000
27000000,"['Drama', 'Thriller', 'Crime', 'Mystery']",15.866,"['The Weinstein Company', 'FilmEngine', 'Capitol Films', 'Ascendant Pictures', 'VIP Medienfonds 4', 'Lucky Number Slevin Productions Inc.', ""Mel's Cite du Cinema"", 'The Complex']",56308881.0,110.0,Lucky Number Slevin,7.5,2987.0,2006,2,74890811,35910000
40000000,"['Thriller', 'Action', 'Crime']",21.38,"['Dimension Films', 'Troublemaker Studios', 'Miramax']",158733820.0,124.0,Sin City,7.4,6076.0,2005,1,217465333,54800000
65000000,"['Crime', 'Action', 'Thriller']",33.531,"['Residaco', 'Miramax', 'Troublemaker Studios', 'Aldamisa Entertainment', 'Demarest Films', 'Solipsist Film', 'AR Films']",39407616.0,102.0,Sin City: A Dame to Kill For,6.3,2901.0,2014,8,44530606,73450000
38000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",11.300999999999998,['Paramount'],120000000.0,118.0,Star Trek: Generations,6.5,897.0,1994,11,217200000,68780000
10000000,"['Comedy', 'Romance']",23.736,"['France 3 Cin??ma', 'Claudie Ossard Productions', 'MMC Independent', 'Tapioca Films', 'Sofica Sofinergie 5', 'Victoires Productions', 'Canal+', 'Filmstiftung Nordrhein-Westfalen', 'Union G??n??rale Cin??matographique (UGC)']",173921954.0,122.0,Am??lie,7.9,8602.0,2001,4,264361370,15200000
40000000,"['Adventure', 'Comedy', 'Science Fiction']",20.453,"['Universal Pictures', 'Amblin Entertainment']",244527583.0,119.0,Back to the Future Part III,7.4,7600.0,1990,5,501281545,82000000
72000000,"['Action', 'Drama', 'History', 'War']",34.621,"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",210000000.0,178.0,Braveheart,7.9,7408.0,1995,5,369600000,126720000
46000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",13.395,['Paramount'],150000000.0,111.0,Star Trek: First Contact,7.2,1221.0,1996,11,256500000,78660000
70000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",13.379000000000001,"['Paramount', 'Digital Image Associates']",118000000.0,103.0,Star Trek: Insurrection,6.4,788.0,1998,11,194700000,115500000
60000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",15.183,"['Paramount', 'Digital Image Associates']",67312826.0,117.0,Star Trek: Nemesis,6.2,968.0,2002,12,100296110,89400000
17500000,"['Drama', 'History', 'War']",16.117,"['Sixth Sense Productions', 'United Artists', 'Lions Gate Films', 'Industrial Development Corporation of South Africa', 'Miracle Pictures', 'Inside Track Films', 'Mikado Film', 'Endgame Entertainment']",38000000.0,121.0,Hotel Rwanda,7.7,2002.0,2004,4,53960000,24850000
10000000,"['Horror', 'Thriller', 'Crime']",43.528,"['Twisted Pictures', 'Evolution Entertainment', 'Lionsgate']",163876815.0,114.0,Saw III,6.4,3056.0,2006,10,217956163,13300000
4000000,['Horror'],42.437,"['Got Films', 'Twisted Pictures', 'Evolution Entertainment', 'Saw 2 Productions', 'Lionsgate']",152925093.0,89.0,Saw II,6.6,3633.0,2005,10,209507377,5480000
185000000,"['Adventure', 'Action']",25.307,"['Paramount', 'Lucasfilm Ltd.', 'The Kennedy/Marshall Company']",786636033.0,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.9,5967.0,2008,5,983295041,231250000
12899867,"['Comedy', 'Drama', 'Romance']",8.779,['El Deseo'],85582407.0,121.0,Volver,7.5,1136.0,2006,3,113824601,17156823
2000000,"['Crime', 'Drama']",10.618,"['IFC Films', 'Fox Searchlight Pictures', 'The Independent Film Channel Productions', 'Killer Films', 'Hart-Sharp Entertainment']",11540607.0,118.0,Boys Don't Cry,7.5,911.0,1999,2,18580377,3220000
50000000,"['Drama', 'Thriller']",10.959000000000001,"['Participant Media', '4M', 'Section Eight', 'FilmWorks', 'MID Foundation', 'Warner Bros. Pictures']",93974620.0,128.0,Syriana,6.4,948.0,2005,11,128745229,68500000
3000000,"['Drama', 'Comedy', 'Romance']",7.608,"['CiBy 2000', 'Film Victoria', 'House & Moorhouse Films']",15119639.0,106.0,Muriel's Wedding,7.1,277.0,1994,8,27366546,5430000
6400000,"['Drama', 'Thriller', 'Crime', 'Romance']",7.67,['Recorded Picture Company'],2500000.0,93.0,Young Adam,5.9,98.0,2003,9,3650000,9344000
34000000,"['Crime', 'Thriller', 'Drama']",13.05,"['J D Productions', 'Regency Enterprises', 'Alcor Films', 'Ixtlan', 'New Regency Pictures', 'Warner Bros. Pictures']",50282766.0,118.0,Natural Born Killers,7.1,2365.0,1994,8,91011806,61540000
54000000,"['Crime', 'Drama', 'Thriller']",25.842,['Paramount'],136766062.0,170.0,The Godfather: Part III,7.4,4237.0,1990,12,280370427,110699999
30000000,"['Comedy', 'Drama', 'Romance', 'Music']",13.044,"['Buena Vista Pictures', 'Touchstone Pictures']",47126295.0,113.0,High Fidelity,7.2,1369.0,2000,3,73517020,46800000
27000000,"['Drama', 'Comedy', 'Romance']",9.641,['Universal Pictures'],129000000.0,101.0,About a Boy,6.6,1652.0,2002,4,192210000,40230000
22000000,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",18.572,['Paramount'],505000000.0,127.0,Ghost,7.2,4075.0,1990,12,1035249999,45099999
207000000,"['Adventure', 'Drama', 'Action']",203.595,"['Universal Pictures', 'WingNut Films', 'Big Primate Pictures', 'MFPV Film']",562363449.0,187.0,King Kong,6.8,5916.0,2005,12,770437925,283590000
50000000,"['Crime', 'Drama', 'Family']",8.835,"['ETIC Films', 'R.P. Productions', 'Runteam III Ltd.']",42093706.0,130.0,Oliver Twist,6.7,891.0,2005,9,57668377,68500000
150000000,"['Action', 'Crime', 'Drama']",49.163000000000004,"['Warner Bros. Pictures', 'DC Comics', 'DC Entertainment', 'Syncopy']",374218673.0,140.0,Batman Begins,7.7,15900.0,2005,10,512679582,205500000
19000000,"['Crime', 'Drama', 'Thriller', 'Horror']",9.6,"['Orion Pictures', 'Strong Heart/Demme Production']",272742922.0,119.0,The Silence of the Lambs,8.3,11693.0,1991,1,537303556,37430000
